หมวด,รายการวัสดุ / ค่าแรง,ปริมาณ,หน่วย,ค่าวัสดุ/หน่วย,ค่าแรง/หน่วย,สูตร,,
1, เหล็กเส้น DB 16 mm. (ข้ออ้อย SD40),,กก.,25.00,0.00,1.578 กก.,,
1, เหล็กเส้น DB 12 mm. (ข้ออ้อย SD40),,กก.,25.00,0.00,0.888 กก.,,
1, เหล็กเส้น RB 9 mm. (เหล็กกลม SR24),,กก.,25.00,0.00,0.499 กก.,,
1, เหล็กเส้น RB 6 mm. (เหล็กกลม SR24),,กก.,25.00,0.00,0.222 กก.,,
1,ปลอก RB 9 mm. (เหล็กกลม SR24) @0.15m.,,กก.,25.00,0.00,0.499 กก.,,
1,ปลอก RB 6 mm. (เหล็กกลม SR24) @0.15m.,,กก.,25.00,0.00,0.222 กก.,,
1,ปลอก RB 9 mm. (เหล็กกลม SR24) @0.20m.,,กก.,25.00,0.00,0.499 กก.,,
1,ปลอก RB 6 mm. (เหล็กกลม SR24) @0.20m.,,กก.,25.00,0.00,0.222 กก.,,
1,ลวดผูกเหล็ก (เบอร์ 18),,กก.,55.00,0.00,,,
1,"ตะปู ขนาดต่างๆ (1"", 3"", 4"")",,กก.,35.00,0.00,,,
1,งานแผ่นพื้นสำเร็จรูป (รวมค่าแรงวาง),,ตร.ม.,310.00,180.00,,,
1,ตะแกรงเหล็ก Wiremesh (หนา 4 มม. @20),,ตร.ม.,65.00,0.00,,,
1,"วัสดุสิ้นเปลือง (ลวดเชื่อม, ใบตัด)",,ตร.ม.,0.00,45.00,,,
2,ค่าแรงประกอบโครงหลังคาเหล็ก (สำหรับซีแพค),,ตร.ม,0.00,450.00,,,
2,ค่าแรงมุงกระเบื้องซีแพค (แบบลอน),,ตร.ม,0.00,150.00,,,
2,ค่าแรงมุงกระเบื้องซีแพค (แบบเรียบ),,ตร.ม,0.00,185.00,,,
2,ค่าแรงประกอบโครงเหล็ก + มุงเมทัลชีท (เบ็ดเสร็จ),,ตร.ม,0.00,350.00,,,
2,เหล็กกล่อง 100x100x1.6 มม.4.90กก.(เสาโครงสร้างเบา / เพิงพัก),,ท่อน,650.00,0.00,,,
2,เหล็กกล่อง 100x100x2.3 มม.6.94กก.(เสาโครงสร้างมาตรฐาน),,ท่อน,880.00,0.00,,,
2,เหล็กกล่อง 100x100x3.2 มม.9.53กก.เสาโครงสร้างหนัก / รับน้ำหนักมาก),,ท่อน,"1,250.00",0.00,,,
2,เหล็กกล่อง 100x50x1.6 มม.3.55กก.(เอ็นทับหลัง / โครงตกแต่ง),,ท่อน,490.00,0.00,,,
2,เหล็กกล่อง 100x50x2.0มม.4.41กก.(คานรอง / โครงสร้างทั่วไป),,ท่อน,590.00,0.00,,,
2,"เหล็กC 150x50x20x2.3 มม.4.96กก.(อเส, อกไก่)",,ท่อน,720.00,0.00,"เหล็กC 150x50x20x2.3 มม.4.96กก.(อเส, อกไก่ (ช่วงพาดปกติ)",,
2,"เหล็กC 150x50x20x3.2 มม.6.76กก.(อเส, อกไก่)",,ท่อน,980.00,0.00,"เหล็กC 150x50x20x3.2 มม.6.76กก.(อเส, อกไก่ (ช่วงพาดกว้าง)",,
2,"เหล็กC 125x50x20x2.3 มม.4.51กก.(อเส, ดั้ง)",,ท่อน,650.00,0.00,"เหล็กC 125x50x20x2.3 มม.4.51กก.(อเส, ดั้ง (บ้านขนาดกลาง)",,
2,"เหล็กC 125x50x20x3.2 มม.6.13กก.(อเส, ดั้ง)",,ท่อน,890.00,0.00,"เหล็กC 125x50x20x3.2 มม.6.13กก.(อเส, ดั้ง (รับแรงสูง)",,
2,เหล็กC 100x50x20x1.6มม.2.88กก.(จันทัน),,ท่อน,420.00,0.00,"เหล็กC 100x50x20x1.6มม.2.88กก.(จันทัน,โครงหลังคาขนาดเล็ก)",,
2,"เหล็กC 100x50x20x2.3มม.4.06กก.(อเส, ดั้ง, อกไก่)",,ท่อน,590.00,0.00,"เหล็กC 100x50x20x2.3มม.4.06กก.(อเส, อกไก่ โครงหลังคาทั่วไป)",,
2,"เหล็กC 100x50x20x3.2มม.5.50กก.(อเส, ดั้ง, อกไก่)",,ท่อน,790.00,0.00,"เหล็กC 100x50x20x3.2มม.5.50กก.(อเส, อกไก่ เสริมความแข็งแรง)",,
2,เหล็กC 100x50x20x1.6มม.2.88กก.(แป),,ท่อน,420.00,0.00,เหล็กC 100x50x20x1.6มม.2.88กก.(แป),,
2,"เหล็กC 100x50x20x2.3มม.4.06กก.(จันทัน, สะพานเหล็ก)",,ท่อน,590.00,0.00,เหล็กC 100x50x20x2.3มม.4.06กก.(จันทัน),,
2,เหล็กC 100x50x20x1.6มม.2.88กก.(จันทัน),,ท่อน,420.00,0.00,"เหล็กC 100x50x20x1.6มม.2.88กก.(จันทัน, (มุงเมทัลชีท)",,
2,"เหล็กC 100x50x20x2.3มม.4.06กก.(จันทัน, สะพานเหล็ก)",,ท่อน,590.00,0.00,"เหล็กC 100x50x20x2.3มม.4.06กก.(จันทัน, (มุงกระเบื้องลอนคู่)",,
2,เหล็กC 75x45x15x1.6มม.2.32กก.(จันทัน),,ท่อน,350.00,0.00,"เหล็กC 75x45x15x1.6มม.2.32กก.(จันทัน, (เพิงหมาแหงนเล็กๆ)",,
2,"เหล็กC 75x45x15x2.3มม.3.25กก.(สะพานเหล็ก, จันทัน)",,ท่อน,480.00,0.00,เหล็กC 75x45x15x2.3มม.3.25กก.(สะพานเหล็ก / จันทันเสริม),,
2,แปสำเร็จรูปสำหรับหลังคากระเบื้อง (ซีแพค / ลอนคู่),,ท่อน,45.00,0.00,,,
2,แปสำเร็จรูปสำหรับหลังคาเมทัลชีท,,ท่อน,35.00,0.00,,,
2,แป๊บโปร่งกัลวาไนซ์ 32 x32x1.2 มม. (1.1/4 x 1.1/4 นิ้ว),,ท่อน,186.00,0.00,,,
2,รางน้ำตะเข้ กัลวาไนซ์ (Galvanized Steel),,เมตร,110.00,80.00,,,
2,รางน้ำตะเข้ สแตนเลส (Stainless Steel),,เมตร,325.00,105.00,,,
2,"วัสดุสิ้นเปลือง ลวดเชื่อม,ใบตัด โครงสร้างหลังคา",,ตร.ม,0.00,250.00,,,
2,ทาสีเหล็กโครงสร้าง (เหล็กรูปพรรณ),,ตร.ม,0.00,180.00,,,
3,แผ่นกระเบื้องซีแพค (สีมาตรฐาน),,แผ่น,17.00,3.00,10.5 แผ่น/ตร.ม.,,
3,ครอบเส้นโค้ง (ครอบสันลอน),,แผ่น,65.00,5.00,3.3แผ่น / 1 เมตร,,
3,ครอบโค้งปิดจั่ว,,แผ่น,75.00,5.00,,,
3,ครอบข้าง,,แผ่น,70.00,5.00,,,
3,ครอบข้างปิดชาย,,แผ่น,85.00,5.00,,,
3,ครอบโค้งหางมน (ปิดปลายสันตะเข้),,แผ่น,90.00,5.00,,,
3,ครอบโค้งสองทาง,,แผ่น,150.00,5.00,,,
3,ครอบโค้งสามทาง,,แผ่น,300.00,5.00,,,
3,ครอบโค้งสี่ทาง,,แผ่น,400.00,5.00,,,
3,แผ่นปิดรอยต่อ (กว้าง 30 ซม. x 3 ม.),,ม้วน,550.00,300.00,,,
3,แผ่นสะท้อนความร้อน (กว้าง 1.25 ม. x 60 ม.),,ม้วน,"2,200.00",300.00,,,
3,สกรูเกลียวยึดแป (กล่อง 250 ตัว),,กล่อง,250.00,0.00,,,
3,สกรูยึดกระเบื้อง 2.5 นิ้ว (กล่อง 250 ตัว),,กล่อง,325.00,0.00,,,
3,แผ่นปิดกันนก (แพ็ก 10-20 แผ่น),,เมตร,250.00,85.00,,,
3,ไม้เชิงชาย 8 นิ้ว (หน้ากว้าง 20 ซม.),,เมตร,85.00,25.00,65 - 85 (เส้น 3 ม. ~220.-),,
3,ไม้เชิงชาย 6 นิ้ว (หน้ากว้าง 15 ซม.),,เมตร,60.00,25.00,45 - 60 (เส้น 3 ม. ~150.-),,
3,แผ่นหลังคาเมทัสชีล(0.47)+ ฉนวน PE,,ตร.ม,195.00,150.00,,,
3,สกรูยิงเมทัลชีท 2 นิ้ว (กล่อง 100 ตัว),,กล่อง,190.00,0.00,,,
3,ครอบข้างเมทัลชีท (หน้ากว้างมาตรฐาน),,เมตร,120.00,0.00,,,
3,เชิงชาย SCG Fascia Board_One Piece,,เมตร,65.00,65.00,,,
3,ไม้ตกแต่งซีเฟรม ขนาด 22.3 x 300 x 1.2 ซม. สีซีเมนต์,,เมตร,210.00,35.00,,,
3,ไม้ตกแต่งซีเฟรม ขนาด 305 x 300 x 1.2 ซม. สีซีเมนต์,,เมตร,275.00,35.00,,,
4,ผนังก่ออิฐมวลเบา(7.5 ซม.)พร้อมเสาเอ็นทับหลัง+งานฉาบ,,ตร.ม,450.00,280.00,,,
4,ผนังก่ออิฐมวลเบา(17.5 ซม.)พร้อมเสาเอ็นทับหลัง+งานฉาบ,,ตร.ม,550.00,500.00,,,
4,อิฐมวลเบา ขนาด 7.5 ซม.,,ก้อน,24.00,0.00,8.33 ก้อน/ตร.ม.,18-22 บาท/ก้อน,
4,ผนังก่ออิฐมอญ(7.5 ซม.)พร้อมเสาเอ็นทับหลัง+งานฉาบ,,ตร.ม,450.00,320.00,,,
4,ผนังก่ออิฐมอญ(17.5 ซม.)พร้อมเสาเอ็นทับหลัง+งานฉาบ,,ตร.ม,600.00,600.00,,,
4,อิฐมอญ 2 รู (ขนาดทั่วไป 3x6x14 ซม.),,ก้อน,1.50,0.00,120-135 ก้อน/ตร.ม,0.90 - 1.20 บาท/ก้อน,
4,ผนังก่ออิฐบล็อก(7.5 ซม.)พร้อมเสาเอ็นทับหลัง+งานฉาบ,,ตร.ม,420.00,250.00,,,
4,ผนังก่ออิฐบล็อก(17.5 ซม.)พร้อมเสาเอ็นทับหลัง+งานฉาบ,,ตร.ม,500.00,450.00,,,
4,อิฐบล็อก (TAN-BRICK) ขนาด 30 x 7 x 15 ซม.,,ก้อน,8.50,0.00,12.5 ก้อน/ตร.ม,4.50 - 6.00 บาท/ก้อน,
4,ปูนเสือ (SCG) ก่อ/ฉาบ ทั้วไป หนา 1.25 ซม.,,ถุง,165.00,0.00,0.48 ถุง/ตร.ม,135-165 บาท/ถุง,
4,งานติดตั้งบัวผนัง รอบบ้านปูนปั้น(ตามแบบ),,เมตร,185.00,80.00,,,
4,"ผนังปูกระเบื้อง 6""x12""สูงชนฝ้า(ห้องน้ำ) ผิวมัน",,ตร.ม,200.00,280.00,,,
4,"ผนังปูกระเบื้อง 6""x12""(ห้องครัว) ผิวมัน",,ตร.ม,200.00,280.00,,,
4,ปูนกาวผนัง ( กระเบื้องขนาดเล็ก-กลาง) กระสอบ (20 กก.),,กระสอบ,210.00,0.00,,,
4,ค่าแรง งานตัดเข้ามุม (เจียร 45 องศา),,ตร.ม,0.00,100.00,,,
4,ผนังปูหินติดผนัง หินเทียม,,ตร.ม,"1,200.00",180.00,,,
4,"ผนังกรุไม้ฝา 4""พร้อมโครงคร่าว C-Line",,ตร.ม,180.00,80.00,,,
4,ผนังไม้เทียม Wpc เหมือนไม้จริง,,ตร.ม,"1,500.00",180.00,,,
4,กระจกเทมเปอร์ สีใส 7มม.,,ตร.ฟ,200.00,3.00,,,
5,"กระเบื้องแกรนิตโต้ 24""x24""ผิวมัน ห้องโถง ห้องพระ",,ตร.ม,650.00,220.00,1.44 ตารางเมตร,,
5,"กระเบื้องแกรนิตโต้ 24""x24""ผิวมัน ห้องนอน",,ตร.ม,650.00,220.00,1.44 ตารางเมตร,,
5,พื้นไม้ลามิเนตพร้อมตัวจบ ห้องนอน,,ตร.ม,600.00,250.00,,,
5,"กระเบื้องเซรามิค12""x12""ผิวด้าน ห้องน้ำ",,ตร.ม,185.00,250.00,,,
5,"กระเบื้องเซรามิค16""x16""ผิวด้าน ครัว ระเบียง ซักล้าง",,ตร.ม,195.00,250.00,,,
5,ปูนกาวพื้น (กระเบื้องแกรนิตโต้ / งานภายนอก) กระสอบ (20 กก.),,กระสอบ,195.00,160.00,,,
5,บัวพื้น MDF/WPC,,เมตร,150.00,200.00,,,
5,พื้นคอนกรีตขัดมันหรือขัดหยาบ,,ตร.ม,150.00,75.00,,,160
5,ติดตั้งจมูกบันได อลูมิเนียม,,เมตร,100.00,15.00,,,80
6,งานฝ้าเพดานยิปซั่มบอร์ด หนา 9 มม. ฉาบเรียบ โครงคร่าว C-Line,,ตร.ม.,220.00,150.00,,,
6,งานฝ้าเพดานยิปซั่มบอร์ด ชนิดทนชื้น (ห้องน้ำ),,ตร.ม.,260.00,150.00,,,
6,งานฝ้าชายคา สมาร์ทบอร์ด เซาะร่อง มีรูระบายอากาศ,,ตร.ม.,180.00,120.00,,,
6,สีทาฝ้าสีภายใน TOA 4 Seasons (ทา 2 รอบ),,ตร.ม.,16.00,20.00,,,
6,งานฝ้าชายคา WPC (Wood Plastic Composite),,ตร.ม.,"1,000.00",300.00,,,
7,สีรองพื้นปูนใหม่ TOA 4 Seasons (ทา 1 รอบ),,ตร.ม.,16.00,65.00,ขนาด 5 แกลลอน (18.9 ลิตร): 150-160 ตร.ม./เที่ยว,,
7,สีรองพื้นปูนใหม่ TOA Shield-1 Nano (ทา 1 รอบ),,ตร.ม.,19.00,65.00,ขนาด 5 แกลลอน (18.9 ลิตร): 150-160 ตร.ม./เที่ยว,,
7,สีรองพื้นปูนใหม่ TOA SuperShield (ทา 1 รอบ),,ตร.ม.,24.00,65.00,ขนาด 5 แกลลอน (18.9 ลิตร): 150-160 ตร.ม./เที่ยว,,
7,สีทาภายนอก TOA 4 Seasons (ทา 2 รอบ),,ตร.ม.,23.00,90.00,ขนาด 5 แกลลอน (18.9 ลิตร): 150-160 ตร.ม./เที่ยว,,
7,สีทาภายนอก TOA SuperShield Duraclean (ทา 2 รอบ),,ตร.ม.,33.00,90.00,ขนาด 5 แกลลอน (18.9 ลิตร): 150-160 ตร.ม./เที่ยว,,
7,สีทาภายใน TOA 4 Seasons (ทา 2 รอบ),,ตร.ม.,16.00,70.00,ขนาด 5 แกลลอน (18.9 ลิตร): 150-160 ตร.ม./เที่ยว,,
7,สีทาภายใน TOA SuperShield Duraclean (ทา 2 รอบ),,ตร.ม.,28.00,70.00,ขนาด 5 แกลลอน (18.9 ลิตร): 150-160 ตร.ม./เที่ยว,,
7,ค่าแรงงานลอกสีเก่า + ทารองพื้นปูนเก่า:,,ตร.ม.,0.00,150.00,,,
7,สีน้ำมันทาวงกบไม้ (รวมรองพื้นกันเชื้อรา),,เหมา/วงกบ,"1,500.00",500.00,,,
8,ประตูบาน เลื่อนสไลด์ อลูมิเนียม S4 (270x205 ซม.)+พร้อมอุปกรณ์,,ชุด,"21,300.00","1,000.00",,,
8,ประตูบาน เลื่อนสไลด์ อลูมิเนียม S3 (160x205 ซม.)+พร้อมอุปกรณ์,,ชุด,"10,900.00","1,000.00",,,
8,ประตูบาน เลื่อนสไลด์ อลูมิเนียม S2 (160x205 ซม.)+พร้อมอุปกรณ์,,ชุด,"9,200.00","1,000.00",,,
8,ประตูภายนอก เลื่อนสไลด์ (บานเดี่ยว) (100x245 ซม.)+พร้อมอุปกรณ์,,ชุด,"25,900.00","2,000.00",,,
8,ประตูภายนอก เลื่อนสไลด์ (บานคู่) (240x245 ซม.)+พร้อมอุปกรณ์,,ชุด,"48,900.00","2,000.00",,,
8,ประตูภายนอก ไม้เนื้อแข็ง (บานคู่) (180x205 ซม.)+พร้อมอุปกรณ์,,ชุด,"25,300.00","2,000.00",,,
8,ประตูภายใน ไม้เนื้อแข็ง (บานเดี่ยว) (80x200 ซม.)+พร้อมอุปกรณ์,,ชุด,"4,900.00",500.00,,,
8,ประตูภายใน WPC (บานเดี่ยว) (80x200 ซม.)+พร้อมอุปกรณ์,,ชุด,"3,700.00",500.00,,,
8,ประตูภายใน PVC (บานเดี่ยว) (80x200 ซม.)+พร้อมอุปกรณ์,,ชุด,"3,700.00",500.00,,,
8,ประตูภายนอก ไม้เนื้อแข็ง(90x200 ซม.)+พร้อมอุปกรณ์,,ชุด,"6,300.00",500.00,,,
8,ประตูภายนอก PVC (90x200 ซม.)+พร้อมอุปกรณ์,,ชุด,"6,300.00",500.00,,,
8,ประตูห้องน้ำเกร็ด ไม้เนื้อแข็ง(80X200 ซม.)+พร้อมอุปกรณ์,,ชุด,"2,500.00",500.00,,,
8,ประตูห้องน้ำ UPVC (บานทึบ/เกล็ด) (70X1.85 ซม.)+พร้อมอุปกรณ์,,ชุด,"2,100.00",500.00,,,
8,ประตูห้องน้ำ PVC (บานทึบ/เกล็ด) (70X1.85 ซม.)+พร้อมอุปกรณ์,,ชุด,"2,100.00",500.00,,,
9,หน้าต่างบานเลื่อนอลูมิเนียม S4 (240x110 ซม.)+พร้อมอุปกรณ์,,ชุด,"9,800.00",300.00,,,
9,หน้าต่างบานเลื่อนอลูมิเนียม S4 (240x150 ซม.)+พร้อมอุปกรณ์,,ชุด,"10,900.00",300.00,,,
9,หน้าต่างบานเลื่อนอลูมิเนียม S4 (240x180 ซม.)+พร้อมอุปกรณ์,,ชุด,"14,400.00",300.00,,,
9,หน้าต่างบานเลื่อนอลูมิเนียม S3 (180x110 ซม.)+พร้อมอุปกรณ์,,ชุด,"7,500.00",300.00,,,
9,หน้าต่างบานเลื่อนอลูมิเนียม S3 (180x150 ซม.)+พร้อมอุปกรณ์,,ชุด,"8,600.00",300.00,,,
9,หน้าต่างบานเลื่อนอลูมิเนียม S3 (180x180 ซม.)+พร้อมอุปกรณ์,,ชุด,"13,200.00",300.00,,,
9,หน้าต่างบานเลื่อนอลูมิเนียม S2 (120x110 ซม.)+พร้อมอุปกรณ์,,ชุด,"3,700.00",300.00,,,
9,หน้าต่างบานเลื่อนอลูมิเนียม S2 (120x150 ซม.)+พร้อมอุปกรณ์,,ชุด,"4,300.00",300.00,,,
9,หน้าต่างบานเลื่อนอลูมิเนียม S2 (120x180 ซม.)+พร้อมอุปกรณ์,,ชุด,"4,900.00",300.00,,,
9,หน้าต่างบานเลื่อนอลูมิเนียม S2 (80x50 ซม.)+พร้อมอุปกรณ์,,ชุด,"2,900.00",300.00,,,
9,หน้าต่างบานเปิดข้างอลูมิเนียม A1 (บานเดี่ยว) (W 0.35)+พร้อมอุปกรณ์,,ชุด,"2,600.00",300.00,,,
9,หน้าต่างบานเปิดข้างอลูมิเนียม A1 (บานเดี่ยว) (W 0.45)+พร้อมอุปกรณ์,,ชุด,"3,000.00",300.00,,,
9,หน้าต่างบานเปิดข้างอลูมิเนียม A1 (บานเดี่ยว) (W 0.60)+พร้อมอุปกรณ์,,ชุด,"3,200.00",300.00,,,
9,หน้าต่างบานเปิดข้างอลูมิเนียม A1 (บานเดี่ยว) (W 0.80)+พร้อมอุปกรณ์,,ชุด,"3,700.00",300.00,,,
9,หน้าต่างบานเปิดข้างอลูมิเนียม A2 (บานคู่) (W 1.20)+พร้อมอุปกรณ์,,ชุด,"4,800.00",300.00,,,
9,หน้าต่างบานเปิดข้างอลูมิเนียม A2 (บานคู่) (W 1.80)+พร้อมอุปกรณ์,,ชุด,"6,600.00",300.00,,,
9,หน้าต่างบานติดตายอลูมิเนียม (Fixed) W0.35+พร้อมอุปกรณ์,,ชุด,"3,200.00",300.00,,,
9,หน้าต่างบานติดตายอลูมิเนียม (Fixed) W0.45+พร้อมอุปกรณ์,,ชุด,"4,000.00",300.00,,,
9,หน้าต่างบานติดตายอลูมิเนียม ตามแบบ+พร้อมอุปกรณ์,,ชุด,"3,500.00",300.00,,,
9,หน้าต่างบานกระทุ้งอลูมิเนียม A1 (บานเดี่ยว)(80x50 ซม.)+พร้อมอุปกรณ์,,ชุด,"1,000.00",300.00,,,
9,หน้าต่างบานกระทุ้งอลูมิเนียม A2  (บานคู่) (120x50 ซม.)+พร้อมอุปกรณ์,,ชุด,"2,000.00",300.00,,,
10,บล็อกปลั๊ก (เต้ารับคู่มีกราวด์),,จุด,600.00,150.00,,,
10,บล็อกสวิทช์ (สวิทช์ทางเดียว),,จุด,500.00,150.00,,,
10,บล็อกสวิทช์ (สวิทช์สองทาง),,จุด,850.00,150.00,,,
10,บล็อกแอร์ (รวมเบรกเกอร์และสาย VAF/THW),,จุด,"1,600.00",250.00,,,
10,บล็อกเครื่องทำน้ำอุ่น (รวมเบรกเกอร์กันดูด/สายดิน),,จุด,"1,950.00",350.00,,,
10,ไฟระย้า (หรือ แชนเดอเลียร์ - Chandelier),,จุด,"18,500.00","1,000.00",,,
10,ดาวไลท์ + หลอด LED 12W (ฝังฝ้า),,จุด,450.00,200.00,,,
10,โคมซาลาเปา + หลอด LED 24W,,จุด,750.00,250.00,,,
10,ไฟกิ่งหน้าบ้าน (Outdoor Wall Lamp),,จุด,"1,850.00",450.00,,,
10,ตู้โหลด (Consumer Unit) พร้อมลูกย่อยครบชุด,,ชุด,"7,500.00","1,500.00",,,
10,สายเมนเข้ามิเตอร์ (THW/NYY  มิเตอร์ 15(45)A ) รวมไม่เกิน 25 เมตร,,เมตร,350.00,80.00,,,
10,สายเมนเข้ามิเตอร์ (THW/NYY มิเตอร์ 30(100)A ) รวมไม่เกิน 25 เมตร,,เมตร,550.00,100.00,,,
11,สุขภัณฑ์แบบนั่งยอง,,ชุด,750.00,300.00,,,
11,สุขภัณฑ์แบบชิ้นเดียว (One Piece Toilet),,ชุด,"6,500.00",500.00,,,
11,สุขภัณฑ์แบบสองชิ้น (Two Piece Toilet / Close Coupled Toilet),,ชุด,"8,500.00",500.00,,,
11,สุขภัณฑ์แบบแขวนผนัง (Wall Hung Toilet),,ชุด,"45,000.00","1,500.00",,,
11,สุขภัณฑ์แบบตั้งพื้น (Wall Faced Toilet),,ชุด,"18,500.00","1,500.00",,,
11,สุขภัณฑ์แบบอัตโนมัติ (Smart Toilet / Automatic Toilet),,ชุด,"19,500.00","1,500.00",,,
11,ฝักบัวสายอ่อน (Hand Shower),,ชุด,"2,250.00",500.00,,,
11,ฝักบัวสายอ่อน (Hand Shower)+ (Rain Shower),,ชุด,"14,500.00","1,500.00",,,
11,อ่างล้างหน้าแบบแขวนผนัง (Wall-Hung Basin),,ชุด,"2,500.00",500.00,,,
11,อ่างล้างหน้าแบบตั้งบนเคาน์เตอร์ (Vessel / Countertop Basin),,ชุด,"6,000.00",500.00,,,
11,อ่างล้างหน้าแบบฝังใต้เคาน์เตอร์ (Undermount Basin),,ชุด,"4,000.00",500.00,,,
11,อ่างล้างหน้าแบบฝังบนเคาน์เตอร์ (Drop-in / Self-rimming Basin),,ชุด,"5,000.00","2,000.00",,,
11,อ่างล้างหน้าแบบฝังครึ่งเคาน์เตอร์ (Semi-Recessed Basin),,ชุด,"6,500.00","2,000.00",,,
11,อ่างล้างหน้าแบบมีขาตั้ง (Pedestal Basin),,ชุด,"4,500.00",500.00,,,
11,อ่างล้างหน้าแบบตั้งพื้น (Floor-standing / Free-standing),,ชุด,"18,000.00",500.00,,,
11,ที่วางสบู่ (เซรามิก/สแตนเลส),,ชุด,450.00,120.00,,,
11,สายฉีดชำระ (ครบชุดพร้อมสาย),,ชุด,650.00,120.00,,,
11,ที่ใส่กระดาษชำระ,,ชุด,"1,550.00",120.00,,,
11,ราวแขวนผ้า (สแตนเลส 304 ยาว 60 ซม.),,ชุด,"1,250.00",120.00,,,
11,ก๊อกน้ำติดอ่างล้างหน้า (ชุบโครเมียม),,ชุด,"1,250.00",30.00,,,
11,ก๊อกน้ำล้างพื้น COTTO (บอลวาล์ว/ก้านปัด),,ชุด,450.00,30.00,,,
11,กระจกเงา หนา 6 มม. (เจียรปรี/เข้ากรอบ),,ชุด,"1,850.00",200.00,,,
11,FD.ตะแกรงดักกลิ่น (สแตนเลสกันแมลง) น้ำทิ้ง,,ชุด,450.00,120.00,,,
11,Sub Drain ตะแกรงดักกลิ่น (สแตนเลสกันแมลง) น้ำทิ้ง,,ชุด,"2,550.00","1,000.00",,,
12,"ถังบำบัดน้ำเสีย (1,000 ลิตร)",,ชุด,"3,800.00","3,000.00",,,
12,"ถังบำบัดน้ำเสีย (1,600 ลิตร)",,ชุด,"5,500.00","3,000.00",,,
12,ท่อ PVC 4 นิ้ว (ระบายส้วม/น้ำทิ้งหลัก) SCG Class 8.5,,เมตร,150.00,0.00,212.5,,
12,ท่อ PVC 3 นิ้ว (น้ำทิ้ง/รางน้ำ) SCG SCG Class 8.5,,เมตร,100.00,0.00,130,,
12,ท่อ PVC 2 นิ้ว (น้ำทิ้งอ่าง/พื้น) SCG SCG Class 8.5,,เมตร,65.00,0.00,65,,
12,ท่อ PVC 3/4 นิ้ว (6 หุน) (ท่อน้ำประปา) SCG SCG Class 13.5,,เมตร,25.00,0.00,20.5,,
