หมวด,รายการวัสดุ / ค่าแรง,% เผื่อสูญเสีย,ปริมาณ (ตามแบบ),ปริมาณ (รวมเผื่อ),หน่วย,ค่าวัสดุ/หน่วย,ค่าแรง/หน่วย,รวมค่าวัสดุ,รวมค่าแรง,รวมเป็นเงิน
1,ฐานรากแผ่ 1.50x1.50 ม.ลึก1.10,0%,,"=IF(ISNUMBER(D17), D17*(1+C17), 0)",ต้น,5500.00,1500.00,"=IF(ISNUMBER(E17), E17*G17, 0)","=IF(ISNUMBER(E17), E17*H17, 0)","=IF(ISNUMBER(E17), I17+J17, 0)"
1,ฐานรากแผ่ 1.50x1.50 ม.ลึก1.50,0%,,"=IF(ISNUMBER(D18), D18*(1+C18), 0)",ต้น,6500.00,1500.00,"=IF(ISNUMBER(E18), E18*G18, 0)","=IF(ISNUMBER(E18), E18*H18, 0)","=IF(ISNUMBER(E18), I18+J18, 0)"
1,ค่าแรงสกัดหัวเข็ม (มี Dowel),0%,,"=IF(ISNUMBER(D19), D19*(1+C19), 0)",ต้น,0.00,300.00,"=IF(ISNUMBER(E19), E19*G19, 0)","=IF(ISNUMBER(E19), E19*H19, 0)","=IF(ISNUMBER(E19), I19+J19, 0)"
1,ค่าแรงขุดหลุมฐานราก (กรณีแยกจากค่าเหมาฐาน),0%,,"=IF(ISNUMBER(D20), D20*(1+C20), 0)",ต้น,0.00,600.00,"=IF(ISNUMBER(E20), E20*G20, 0)","=IF(ISNUMBER(E20), E20*H20, 0)","=IF(ISNUMBER(E20), I20+J20, 0)"
1,ดินขุด / ดินถม (งานฐานราก/ปรับระดับ),0%,,"=IF(ISNUMBER(D21), D21*(1+C21), 0)",ตร.ม.,350.00,50.00,"=IF(ISNUMBER(E21), E21*G21, 0)","=IF(ISNUMBER(E21), E21*H21, 0)","=IF(ISNUMBER(E21), I21+J21, 0)"
1,ทรายหยาบอัดแน่น (หนา 5-10 ซม.),0%,,"=IF(ISNUMBER(D22), D22*(1+C22), 0)",ตร.ม.,120.00,150.00,"=IF(ISNUMBER(E22), E22*G22, 0)","=IF(ISNUMBER(E22), E22*H22, 0)","=IF(ISNUMBER(E22), I22+J22, 0)"
1,คอนกรีตหยาบ (Lean 1:3:6 หนา 5 ซม.),5%,,"=IF(ISNUMBER(D23), D23*(1+C23), 0)",ตร.ม.,150.00,200.00,"=IF(ISNUMBER(E23), E23*G23, 0)","=IF(ISNUMBER(E23), E23*H23, 0)","=IF(ISNUMBER(E23), I23+J23, 0)"
1,แบบหล่อคอนกรีต (ไม้แบบ/เหล็กแบบ + ค่าแรง),5%,,"=IF(ISNUMBER(D24), D24*(1+C24), 0)",ตร.ม.,350.00,200.00,"=IF(ISNUMBER(E24), E24*G24, 0)","=IF(ISNUMBER(E24), E24*H24, 0)","=IF(ISNUMBER(E24), I24+J24, 0)"
1,คอนกรีต 240 ksc. (หนา 10 ซม. สำหรับพื้น),5%,,"=IF(ISNUMBER(D25), D25*(1+C25), 0)",ตร.ม.,350.00,200.00,"=IF(ISNUMBER(E25), E25*G25, 0)","=IF(ISNUMBER(E25), E25*H25, 0)","=IF(ISNUMBER(E25), I25+J25, 0)"
1,คอนกรีต 240 ksc. (กรณีสั่งเป็นคิว/Ready Mix),5%,,"=IF(ISNUMBER(D26), D26*(1+C26), 0)",ลบ.ม.,2250.00,300.00,"=IF(ISNUMBER(E26), E26*G26, 0)","=IF(ISNUMBER(E26), E26*H26, 0)","=IF(ISNUMBER(E26), I26+J26, 0)"
